10:33:12,0,2,3,2,0
10:33:15,0,2,3,2,0
10:33:18,0,3,3,3,0
10:33:21,0,2,6,4,0
10:33:24,0,2,3,2,0
10:33:27,0,2,5,3,0
10:33:30,0,2,4,2,0
10:33:33,0,3,3,3,0
10:33:36,0,3,3,3,0
10:33:39,0,2,4,3,0
10:33:42,0,3,4,3,0
10:33:45,0,2,4,3,0
10:33:49,0,2,3,2,0
10:33:52,0,2,4,3,0
10:33:55,0,2,3,2,0
10:33:58,0,2,4,3,0
10:34:01,0,2,3,2,0
10:34:04,0,2,3,2,0
10:34:07,0,3,4,3,0
10:34:10,0,2,3,2,0
10:34:13,0,3,4,3,0
10:34:16,0,2,3,2,0
10:34:19,0,2,3,2,0
10:34:22,0,2,3,2,0
10:34:25,0,2,4,3,0
10:34:29,0,2,3,2,0
10:34:32,0,2,3,2,0
10:34:35,0,2,3,2,0
10:34:38,0,3,4,3,0
10:34:41,0,2,5,4,0
10:34:44,0,3,4,3,0
10:34:47,0,2,3,2,0
10:34:50,0,3,5,4,0
10:34:53,0,3,6,4,0
10:34:56,0,3,9,5,0
10:34:59,0,2,3,2,0
10:35:02,0,2,4,2,0
10:35:05,0,2,4,2,0
10:35:08,0,2,8,4,0
10:35:12,0,3,25,10,0
10:35:15,0,2,10,7,0
10:35:18,0,3,3,3,0
10:35:21,0,2,6,3,0
10:35:24,0,2,4,3,0
10:35:27,0,2,3,2,0
10:35:30,0,2,7,4,0
10:35:33,0,3,3,3,0
10:35:36,0,2,3,2,0
10:35:39,0,2,2,2,0
10:35:42,0,2,3,2,0
10:35:45,0,2,4,3,0
10:35:48,0,2,5,3,0
10:35:52,0,3,3,3,0
10:35:55,0,3,6,4,0
10:35:58,0,3,4,3,0
10:36:01,0,3,4,3,0
10:36:04,0,2,4,3,0
10:36:07,0,2,3,2,0
10:36:10,0,2,5,3,0
10:36:13,0,2,3,2,0
10:36:16,0,2,5,3,0
10:36:19,0,2,3,2,0
10:36:22,0,2,4,3,0
10:36:25,0,3,4,3,0
10:36:28,0,2,5,3,0
10:36:32,0,2,4,2,0
10:36:35,0,3,3,3,0
10:36:38,0,2,5,3,0
10:36:41,0,2,4,3,0
